year,pce_b,DMOTRC,DMOTRC_share_pce,DFDHRC,DFDHRC_share_pce,DREQRC,DREQRC_share_pce,DODGRC,DODGRC_share_pce,DFXARC,DFXARC_share_pce,DCLORC,DCLORC_share_pce,DGOERC,DGOERC_share_pce,DONGRC,DONGRC_share_pce,DHUTRC,DHUTRC_share_pce,DHLCRC,DHLCRC_share_pce,DTRSRC,DTRSRC_share_pce,DRCARC,DRCARC_share_pce,DFSARC,DFSARC_share_pce,DIFSRC,DIFSRC_share_pce,DOTSRC,DOTSRC_share_pce,DNPIRC,DNPIRC_share_pce,detail_sum_b,identity_residual_b,source_vintage
1985,2712.83,170.065,0.06268914749541991,94.62,0.034878706000744615,74.075,0.027305433808974395,41.605,0.015336383039114134,302.953,0.11167415577091082,146.845,0.054129820150912514,110.532,0.040744167529848906,196.914,0.0725861922789117,500.61,0.1845342317800968,302.195,0.11139474275940622,90.145,0.033229137100371196,73.958,0.027262305415378038,174.299,0.06424987927735981,178.247,0.06570518609717528,207.86,0.07662109310203737,47.907,0.01765941839333832,2712.83,0.0,BEA current Underlying Section2All release downloaded 2026-08-23
1986,2886.278,187.519,0.06496914018677342,103.454,0.03584339415676522,83.016,0.02876230217602047,47.45,0.01643985783767191,316.414,0.10962700058691506,157.2,0.0544646080523082,91.191,0.0315946696749239,209.382,0.07254394760310684,536.976,0.18604444894081584,330.159,0.1143891891217686,95.009,0.0329174805753292,80.37,0.027845550567201085,186.687,0.0646808796657841,187.675,0.06502318903445892,221.165,0.07662636793822356,52.61,0.018227627414961416,2886.2770000000005,0.0009999999992942321,BEA current Underlying Section2All release downloaded 2026-08-23
1987,3076.279,188.181,0.06117162975139771,109.536,0.03560665336271515,91.802,0.029841896655017314,52.503,0.01706704755973044,324.313,0.10542379283543528,167.727,0.05452268796165757,96.369,0.031326482415931715,225.867,0.0734221440903117,571.559,0.18579556665699046,366.011,0.11897848017036167,103.097,0.03351354022180693,87.277,0.028370963751987385,204.379,0.06643708194217754,189.53,0.061610146543925305,242.431,0.07880657118551342,55.698,0.018105639963085274,3076.28,-0.0010000000002037268,BEA current Underlying Section2All release downloaded 2026-08-23
1988,3330.012,202.213,0.06072440579793706,115.155,0.034580956465021746,99.876,0.029992684711046085,57.808,0.017359697202292364,342.806,0.10294437377402843,178.214,0.05351752486177227,99.85,0.02998487693137442,241.386,0.07248802707017271,614.438,0.1845152509960925,410.052,0.12313829499713515,114.15,0.03427915575079009,99.234,0.02979989261299959,225.847,0.06782167751948041,202.93,0.06093972033734413,262.76,0.0789066225587175,63.294,0.019007138713013644,3330.013,-0.0009999999997489795,BEA current Underlying Section2All release downloaded 2026-08-23
1989,3576.758,207.771,0.058089196976703485,121.388,0.033937996364305334,103.905,0.02905005035286145,61.265,0.017128639958308614,365.388,0.10215619843444818,190.397,0.05323172548995487,110.439,0.030876844337805354,263.251,0.0736004504637999,655.168,0.1831737008766039,451.208,0.12614999393305334,121.847,0.0340663248673799,110.665,0.03094003004955885,242.597,0.06782594740823954,222.319,0.062156567483738066,281.112,0.07859407877189344,68.037,0.01902197464855045,3576.757,0.0009999999997489795,BEA current Underlying Section2All release downloaded 2026-08-23
1990,3808.994,205.119,0.05385122685937547,120.94,0.03175116579338271,105.558,0.027712829161715666,65.462,0.01718616516592045,391.176,0.10269798272194705,195.245,0.05125894133726648,124.199,0.032606772286855795,283.602,0.07445587995150425,696.54,0.18286718225337187,506.201,0.13289624504527967,126.372,0.0331772641280086,121.767,0.031968283489026236,262.735,0.06897753055006126,230.757,0.060582137960836904,297.461,0.07809437347499104,75.86,0.01991601982045653,3808.994,0.0,BEA current Underlying Section2All release downloaded 2026-08-23
1991,3943.449,185.748,0.047102929440700256,118.784,0.030121855259190623,107.715,0.027314921531887443,64.935,0.016466549966793028,402.953,0.10218288609793101,199.098,0.050488290833734635,121.129,0.030716512372798533,297.072,0.07533303968176082,735.248,0.18644795456971805,555.76,0.14093246799945935,123.674,0.03136188651102119,127.182,0.032251463122763856,273.395,0.06932890472274397,250.083,0.06341732833364905,300.547,0.07621424798444205,80.127,0.02031901515652922,3943.45,-0.0009999999997489795,BEA current Underlying Section2All release downloaded 2026-08-23
1992,4197.559,204.799,0.04879002296334608,124.288,0.029609589763955668,110.995,0.026442749226395626,68.0,0.016199891413080793,404.464,0.09635695412500456,211.233,0.05032281857146022,125.008,0.029781118025976522,314.481,0.07491997134525089,771.112,0.18370486275475817,612.785,0.1459860361700693,133.622,0.031833263094098264,139.8,0.0333050708757161,286.312,0.06820916632738218,276.995,0.06598954297009285,325.73,0.0775998622056295,87.935,0.020949080167783227,4197.559,0.0,BEA current Underlying Section2All release downloaded 2026-08-23
1993,4451.984,224.715,0.05047524878795611,131.367,0.029507518445708696,123.473,0.027734376403868475,71.977,0.016167398624972597,413.472,0.09287364914159618,219.053,0.04920345625680595,126.882,0.02850010242624412,331.407,0.07444029448443659,814.939,0.18305074771158206,648.809,0.14573480048445814,145.735,0.0327348436112978,153.375,0.03445093243821182,298.406,0.06702764430420234,314.0,0.07053035231034073,344.309,0.07733832825993983,90.065,0.020230306308378465,4451.9839999999995,9.094947017729282e-13,BEA current Underlying Section2All release downloaded 2026-08-23
1994,4720.965,249.843,0.05292201912109071,140.511,0.0297631946011038,140.34,0.029726973192980673,76.477,0.016199442275043344,432.109,0.09152980375834177,227.435,0.04817553190926008,129.231,0.027373852591578204,350.608,0.07426617227621896,863.343,0.1828742640540652,680.461,0.14413599761913085,160.97,0.03409684248877083,164.66,0.0348784623482699,308.298,0.06530402152949662,327.912,0.06945868058754937,371.006,0.07858689907677772,97.762,0.020708054391422093,4720.966,-0.0010000000002037268,BEA current Underlying Section2All release downloaded 2026-08-23
