degree_level,field,is_panel_total,total,closely,somewhat,not_related,share_closely,share_somewhat,share_not_related
Master's,Technology and technical fields,False,116000,82000.0,21000.0,13000.0,0.7068965517241379,0.1810344827586207,0.11206896551724138
Master's,Other S&E-related fields,False,212000,160000.0,35000.0,17000.0,0.7547169811320755,0.1650943396226415,0.08018867924528301
Master's,Non-S&E fields,False,9455000,5798000.0,2545000.0,1112000.0,0.6132205182443152,0.26916975145425703,0.11760973030142782
Master's,Management and administration fields,False,3474000,1830000.0,1299000.0,346000.0,0.5267702936096719,0.37392055267702934,0.09959700633275763
Master's,"Education, except science and math teacher education",False,2964000,2186000.0,499000.0,279000.0,0.7375168690958165,0.1683535762483131,0.09412955465587045
Master's,Social service and related fields,False,884000,651000.0,138000.0,95000.0,0.7364253393665159,0.15610859728506787,0.1074660633484163
Master's,Sales and marketing fields,False,260000,131000.0,95000.0,34000.0,0.5038461538461538,0.36538461538461536,0.13076923076923078
Master's,Art and humanities fields,False,739000,373000.0,205000.0,161000.0,0.5047361299052774,0.2774018944519621,0.2178619756427605
Master's,Other non-S&E fields,False,1134000,627000.0,311000.0,196000.0,0.5529100529100529,0.2742504409171076,0.1728395061728395
Doctorate,Doctorate,True,2488000,1940000.0,414000.0,134000.0,0.7797427652733119,0.16639871382636656,0.053858520900321546
Doctorate,S&E fields,False,1393000,1089000.0,249000.0,55000.0,0.7817659727207465,0.17875089734386218,0.03948312993539124
Doctorate,"Biological, agricultural, and environmental life sciences",False,412000,329000.0,71000.0,12000.0,0.7985436893203883,0.17233009708737865,0.02912621359223301
Doctorate,Agricultural and food sciences,False,26000,20000.0,3000.0,,0.7692307692307693,0.11538461538461539,
Doctorate,Biological sciences,False,376000,302000.0,65000.0,9000.0,0.8031914893617021,0.17287234042553193,0.023936170212765957
Doctorate,Environmental life sciences,False,10000,7000.0,3000.0,,0.7,0.3,
Doctorate,Computer and mathematical sciences,False,143000,114000.0,27000.0,3000.0,0.7972027972027972,0.1888111888111888,0.02097902097902098
Doctorate,Computer and information sciences,False,84000,71000.0,13000.0,,0.8452380952380952,0.15476190476190477,
Doctorate,Mathematics and statistics,False,59000,43000.0,14000.0,3000.0,0.7288135593220338,0.23728813559322035,0.05084745762711865
Doctorate,Physical and related sciences,False,219000,147000.0,58000.0,14000.0,0.6712328767123288,0.2648401826484018,0.0639269406392694
Doctorate,"Chemistry, except biochemistry",False,97000,66000.0,24000.0,8000.0,0.6804123711340206,0.24742268041237114,0.08247422680412371
Doctorate,"Earth, atmospheric, and ocean sciences",False,37000,30000.0,7000.0,,0.8108108108108109,0.1891891891891892,
