year,private_wages,government_wages,supplements,proprietors,rental,interest,dividends,transfers,employee_comp,resource_total,employee_comp_share,proprietors_share,rental_share,interest_share,dividends_share,transfers_share
2007,5307.847,1088.544,1482.083,995.398,186.259,1325.248,780.055,1697.335,7878.474,12862.769,0.6125021758534263,0.07738598119891603,0.014480474616313174,0.1030297597663458,0.06064440712571297,0.13195720143928574
2008,5390.244,1143.851,1522.73,960.304,290.275,1345.849,805.67,1919.349,8056.824999999999,13378.271999999999,0.6022321118900856,0.07178086975657245,0.02169749576028952,0.10059961406076959,0.06022227683814472,0.1434676316941381
2009,5073.887,1175.223,1509.91,938.126,347.592,1272.829,565.642,2107.728,7759.0199999999995,12990.936999999998,0.5972640772563211,0.07221388264757193,0.026756499550417343,0.09797822897609311,0.043541278046379576,0.162246033523217
2010,5181.336,1191.174,1552.859,1108.503,433.671,1211.054,536.625,2281.411,7925.369000000001,13496.633000000002,0.5872108250998601,0.08213181761703084,0.032131791684637194,0.08973008305108392,0.039759916417672465,0.16903556612971546
2011,5431.331,1194.851,1599.993,1228.337,506.541,1216.066,690.419,2310.139,8226.175000000001,14177.677,0.5802202293083698,0.08663880549683844,0.0357280674401032,0.08577328994023492,0.04869761104022895,0.16294199677422475
2012,5729.815,1198.309,1639.238,1299.922,534.468,1271.809,831.742,2322.586,8567.362,14827.889,0.5777870336094368,0.08766736789033153,0.03604478021112783,0.08577141358422632,0.05609308243405383,0.15663632227082358
2013,5905.988,1208.006,1721.044,1351.739,578.687,1201.595,781.648,2385.91,8835.038,15134.616999999998,0.583763566663101,0.08931438436796915,0.03823598575371944,0.07939381617651772,0.051646368058075084,0.15764587898061774
2014,6239.431,1236.901,1773.876,1369.965,598.502,1260.374,917.027,2498.625,9250.207999999999,15894.701,0.5819680407954827,0.08619004534907578,0.03765418424668699,0.07929523178825447,0.057693881753422105,0.15719861606707797
2015,6583.727,1275.756,1839.937,1347.722,601.351,1347.722,996.868,2635.146,9699.42,16628.229,0.5833104655943817,0.08105024293326728,0.036164464658262764,0.08105024293326728,0.05995034107360442,0.1584742428072166
2016,6783.21,1308.029,1874.87,1349.214,618.723,1387.973,1027.446,2717.282,9966.109,17066.747,0.5839489505527914,0.0790551356975058,0.03625313013663353,0.08132616016397266,0.06020163069154303,0.15921499275755363
2017,7126.207,1348.203,1949.962,1428.634,642.028,1466.672,1144.294,2807.432,10424.372,17913.432,0.5819304754108536,0.079752110036759,0.035840591573965276,0.0818755445634315,0.06387910479689207,0.1567221736180984
2018,7497.95,1401.874,2057.58,1495.331,671.488,1554.473,1234.903,2925.973,10957.404,18839.572,0.5816163976548937,0.07937181375457998,0.03564242329921296,0.08251105704524497,0.06554835746799344,0.155309950778075
2019,7874.807,1450.337,2121.468,1555.775,688.432,1603.518,1346.503,3090.76,11446.612000000001,19731.6,0.5801157534107727,0.07884687506335017,0.034889821403231366,0.08126649638143892,0.06824094346124998,0.15664011027995706
2020,7971.087,1494.256,2132.796,1599.507,743.428,1505.907,1403.47,4187.512,11598.139000000001,21037.963,0.551295721928972,0.0760295566638272,0.035337451634457194,0.07158045672007314,0.06671130660321059,0.19904550644945995
2021,8770.619,1544.355,2243.4,1818.662,776.719,1472.807,1700.456,4566.711,12558.374,22893.729,0.5485508280455316,0.07943930846739734,0.03392715096784801,0.06433233310309562,0.07427606048800525,0.1994743189281222
2022,9501.504,1621.265,2320.608,1868.919,871.106,1572.851,1839.162,4012.998,13443.377,23608.413,0.5694316259208105,0.07916326268944889,0.036898117632896375,0.06662247902898005,0.07790282218461698,0.1699816925432472
2023,10000.506,1731.904,2474.983,1941.958,1002.484,1829.749,1930.926,4150.561,14207.393,25063.070999999996,0.5668656087675769,0.07748284318390194,0.03999845030962088,0.07300577810277122,0.07704267366118063,0.16560464597494856
2024,10538.817,1849.112,2639.13,2023.08,1078.149,1926.644,1981.914,4455.695,15027.059000000001,26492.541000000005,0.567218486139174,0.07636413585242728,0.04069632278761028,0.07272401692234806,0.07481026451936036,0.1681867737790799
2025,11028.434,1930.222,2768.254,2109.356,1114.51,1968.309,2247.946,4845.13,15726.91,28012.161,0.5614315154050414,0.07530143782909145,0.0397866483774672,0.07026623186979399,0.08024893188354872,0.17296523463505725
