release,year,country,h,comp,vintage
wiod13,2002,CAN,0.0005033857504879521,0.007842497105590245,
wiod13,2002,CHN,0.0435054601849677,0.03473016035742974,
wiod13,2002,CYP,2.9954287840117216e-06,1.7361600097598636e-05,
wiod13,2002,CZE,0.0004843758819453522,0.001693790217206759,
wiod13,2002,DEU,0.0024737956501968594,0.06118793826512871,
wiod13,2002,DNK,0.00014140539180912035,0.0031965684843272752,
wiod13,2002,ESP,0.0005042125732625867,0.006417669459377242,
wiod13,2002,EST,2.3646795239014437e-05,7.660019593172258e-05,
wiod13,2002,FIN,0.000175891547216121,0.0033878402322712804,
wiod13,2002,FRA,0.0009704925152832679,0.023081581587213337,
wiod13,2002,GBR,0.0010962018407161605,0.024559549597829106,
wiod13,2002,GRC,5.609761592498488e-05,0.0003573958500702313,
wiod13,2002,HUN,0.0003315637790745642,0.0012750245048202826,
wiod13,2002,IDN,0.002179144334328388,0.0014065839670396537,
wiod13,2002,IND,0.009576152945959166,0.0030679622045992998,
wiod13,2002,IRL,0.00013314752184799374,0.0019257678464582745,
wiod13,2002,ITA,0.0017242556026073324,0.022411223448784098,
wiod13,2002,JPN,0.004952469901665549,0.09531227753850649,
wiod13,2002,KOR,0.00265528958266334,0.0150753835918881,
wiod13,2002,LTU,3.494666098694207e-05,9.730564360008092e-05,
wiod13,2002,LUX,1.2203184928432995e-05,0.0003048668045396601,
wiod13,2002,LVA,2.1726103624359343e-05,4.843634706971518e-05,
wiod13,2002,MEX,0.002058644524471139,0.005371430139748035,
wiod13,2002,MLT,9.285054219601445e-06,5.666454172381756e-05,
wiod13,2002,NLD,0.00033843762702476796,0.007156115476975573,
wiod13,2002,POL,0.0004710216972144378,0.0018477811437103277,
wiod13,2002,PRT,0.00014685687707336636,0.0011352005983083719,
wiod13,2002,ROU,0.0004655002505773497,0.0006280156029182111,
wiod13,2002,RUS,0.0033665420555312074,0.0037256190340325393,
wiod13,2002,SVK,0.00013772066140178038,0.0003030317651290709,
wiod13,2002,SVN,7.392532136359103e-05,0.0005442685852601721,
wiod13,2002,SWE,0.00031467585862220284,0.0070996774839491225,
wiod13,2002,TUR,0.0006773157618826405,0.0012465673477613233,
wiod13,2002,TWN,0.0016582454832223795,0.010143865119271133,
wiod13,2002,USA,0.0055881927364478555,0.148193081690902,
wiod13,2003,AUS,0.00023029464398337205,0.0038659320071602102,
wiod13,2003,AUT,0.00020283689361954915,0.004854274377540014,
wiod13,2003,BEL,0.00014407451652817194,0.004288933836684842,
wiod13,2003,BGR,0.00010675418022431502,0.0001736790649133966,
wiod13,2003,BRA,0.003005214104251226,0.005201286952896135,
wiod13,2003,CAN,0.00044611034003097603,0.008031273285189683,
wiod13,2003,CHN,0.04473747667465512,0.036668730076493385,
wiod13,2003,CYP,2.661599332168992e-06,1.9768725108046677e-05,
wiod13,2003,CZE,0.00042506365786027157,0.0018365793726089848,
wiod13,2003,DEU,0.002142621592779877,0.06426225399262017,
wiod13,2003,DNK,0.00012186225238737667,0.0034769259021286358,
wiod13,2003,ESP,0.0004307845276110254,0.00690723307739397,
wiod13,2003,EST,3.339859209031831e-05,0.00014248670895330933,
wiod13,2003,FIN,0.00014706448568398042,0.003520928304739057,
wiod13,2003,FRA,0.0008238233110139651,0.0241033745320726,
wiod13,2003,GBR,0.0009035745004110104,0.02335929498720553,
wiod13,2003,GRC,5.491607336846426e-05,0.0004473385297626669,
wiod13,2003,HUN,0.0003053094110725169,0.0014868917839524717,
wiod13,2003,IDN,0.0021559785348599265,0.0015814387207970934,
wiod13,2003,IND,0.008974950285938078,0.0030829568280825075,
wiod13,2003,IRL,0.000113643185838709,0.002035867900300118,
wiod13,2003,ITA,0.0015293574740977223,0.024604430872268192,
wiod13,2003,JPN,0.004396761613744665,0.09186846806823863,
wiod13,2003,KOR,0.0023916374384357203,0.015389521343598216,
wiod13,2003,LTU,3.0954998200953754e-05,0.0001150284257541951,
wiod13,2003,LUX,1.0901653762141975e-05,0.00032767262268040777,
wiod13,2003,LVA,1.9995531035205667e-05,5.466650505537394e-05,
wiod13,2003,MEX,0.001828046144973387,0.0043831400607775624,
wiod13,2003,MLT,8.073181425920801e-06,6.209297877878402e-05,
wiod13,2003,NLD,0.0002925062034566032,0.00767527096323416,
wiod13,2003,POL,0.00043036453171719,0.001821414879596495,
wiod13,2003,PRT,0.0001327539809886346,0.0012613163113981765,
wiod13,2003,ROU,0.0004011037453597048,0.0006271310646291073,
wiod13,2003,RUS,0.0030873958882070636,0.004944948816937507,
wiod13,2003,SVK,0.00013422361849103507,0.0003932797593978766,
wiod13,2003,SVN,6.596404583749258e-05,0.0006081602231411982,
wiod13,2003,SWE,0.0002659604106781191,0.007464997817356829,
wiod13,2003,TUR,0.0005940193393523929,0.0014431320329564544,
wiod13,2003,TWN,0.001488968750433107,0.009222742425177495,
wiod13,2003,USA,0.004675479298972825,0.12958305529537825,
wiod13,2004,AUS,0.00019340639088345098,0.003938881646234729,
wiod13,2004,AUT,0.00017085485421995629,0.004528814841940017,
wiod13,2004,BEL,0.0001235063276063653,0.004087830169562269,
wiod13,2004,BGR,9.425434750249664e-05,0.00017012706613215485,
wiod13,2004,BRA,0.0029170622960197077,0.005756316158041278,
wiod13,2004,CAN,0.0003801391138180374,0.007489967524452697,
wiod13,2004,CHN,0.04748149100397195,0.04101215831196771,
wiod13,2004,CYP,2.2556156377624185e-06,2.1325685567422083e-05,
wiod13,2004,CZE,0.00039931370425124054,0.002027446788428477,
wiod13,2004,DEU,0.0019240888506116157,0.0634725762619318,
wiod13,2004,DNK,9.733531582720705e-05,0.003156575655435075,
wiod13,2004,ESP,0.00035393807357868355,0.006368611999789787,
wiod13,2004,EST,3.242615065301071e-05,0.00015536577812422708,
wiod13,2004,FIN,0.00012613403164208874,0.0034484611261151304,
wiod13,2004,FRA,0.0006967637762044965,0.022963584631844735,
wiod13,2004,GBR,0.0006998963178689945,0.021233422472661266,
wiod13,2004,GRC,5.2099388945802795e-05,0.0004797016879016213,
wiod13,2004,HUN,0.000269276011577314,0.0015729785242557406,
wiod13,2004,IDN,0.00194831933412955,0.0015149835714487797,
wiod13,2004,IND,0.008313675218443867,0.003019783788002072,
wiod13,2004,IRL,9.421851136284795e-05,0.001955191895335355,
wiod13,2004,ITA,0.0013260732484490574,0.024167766921252772,
wiod13,2004,JPN,0.003834730141633649,0.08604714289993157,
wiod13,2004,KOR,0.0021845758167865206,0.014840870698691661,
wiod13,2004,LTU,3.231838471097862e-05,0.00014128004165639077,
wiod13,2004,LUX,1.0348618395013917e-05,0.0003485974857964234,
wiod13,2004,LVA,1.6964894898098054e-05,5.5610285528631674e-05,
wiod13,2004,MEX,0.0014992369796143665,0.0034844304377357332,
wiod13,2004,MLT,7.152385029610944e-06,6.307245188890365e-05,
wiod13,2004,NLD,0.0002543031928221329,0.007571995806578918,
wiod13,2004,POL,0.00040182544738349404,0.0017045284848783016,
wiod13,2004,PRT,0.00011649531454703676,0.0012447352942682932,
wiod13,2004,ROU,0.00031785777451582973,0.0006707258741926165,
wiod13,2004,RUS,0.002569184365077865,0.005657664627306593,
wiod13,2004,SVK,0.0001201245619015483,0.0004199001706768476,
wiod13,2004,SVN,5.8087461855362706e-05,0.0006214168576551399,
wiod13,2004,SWE,0.00022057142060971847,0.006938796404050654,
wiod13,2004,TUR,0.0005725405150366172,0.0017343793319289842,
wiod13,2004,TWN,0.001334408931779516,0.008304123240021189,
wiod13,2004,USA,0.004002870405077445,0.12110715977083343,
wiod13,2005,AUS,0.00019533817865085868,0.004251349857038464,
wiod13,2005,AUT,0.0001627328217251622,0.0044359116917151,
wiod13,2005,BEL,0.00010901939088544354,0.0037228051960209205,
wiod13,2005,BGR,7.853613686815953e-05,0.00015087952255639798,
wiod13,2005,BRA,0.0028117135496806833,0.007319601911515446,
wiod13,2005,CAN,0.0003383942671321865,0.007510728332938738,
wiod13,2005,CHN,0.049758071623621634,0.04519267716541896,
wiod13,2005,CYP,2.753545651994812e-06,2.5252903411447855e-05,
wiod13,2005,CZE,0.00035632348758979956,0.0020199648428766135,
wiod13,2005,DEU,0.0017583328508899592,0.05766686356427744,
wiod13,2005,DNK,9.069540041178877e-05,0.0031017567454318957,
wiod13,2005,ESP,0.00033987042364760813,0.006305633952296768,
wiod13,2005,EST,1.8275503947015483e-05,0.00010511448927992946,
wiod13,2005,FIN,0.00012708351532158898,0.003624656692984817,
wiod13,2005,FRA,0.0006304617758531705,0.02145994880888261,
wiod13,2005,GBR,0.0006263463677808209,0.02037208604942468,
wiod13,2005,GRC,4.414761042945896e-05,0.0004231821685073288,
wiod13,2005,HUN,0.0002580824890646636,0.0016659246423460278,
wiod13,2005,IDN,0.0013310178408911751,0.0013667992342982099,
wiod13,2005,IND,0.00885725150133947,0.0035701218019023274,
wiod13,2005,IRL,8.386958748619488e-05,0.001874491559999406,
wiod13,2005,ITA,0.0012193801150574917,0.023133942424244318,
wiod13,2005,JPN,0.0034255369560854836,0.07717001968985675,
wiod13,2005,KOR,0.0019278982196213653,0.01649403153800215,
wiod13,2005,LTU,3.270755342789062e-05,0.00015997812772812313,
wiod13,2005,LUX,9.596172366896116e-06,0.000345127312328146,
wiod13,2005,LVA,1.6575202960266052e-05,6.468709114467706e-05,
wiod13,2005,MEX,0.0013450961702560953,0.0036302093997620465,
wiod13,2005,MLT,6.102746015210617e-06,5.6342904559645934e-05,
wiod13,2005,NLD,0.00023278876828604985,0.006992866129806112,
wiod13,2005,POL,0.00039102056395938126,0.002002733476627067,
wiod13,2005,PRT,0.00010559053526938684,0.0011699055003493773,
wiod13,2005,ROU,0.00027758398562379463,0.0008402001172978834,
wiod13,2005,RUS,0.002323762559798087,0.006252505181477448,
wiod13,2005,SVK,0.00012168296774234509,0.0004625387098731886,
wiod13,2005,SVN,5.2558718477499894e-05,0.0006006740382107032,
wiod13,2005,SWE,0.0002028038831999115,0.00649709795235246,
wiod13,2005,TUR,0.0005726245213315841,0.002013143517545859,
wiod13,2005,TWN,0.001258793765697155,0.008485077114954097,
wiod13,2005,USA,0.003651741955538598,0.11749923126424981,
wiod13,2006,AUS,0.0001887158331760591,0.004236827367744163,
wiod13,2006,AUT,0.00015229556174046677,0.004309202070754378,
wiod13,2006,BEL,0.00010139687771951026,0.0035942845066917035,
wiod13,2006,BGR,8.834002129755668e-05,0.00019138239040179401,
wiod13,2006,BRA,0.0026622178647157354,0.008348699339330303,
wiod13,2006,CAN,0.00031155142655313827,0.007747288210807315,
wiod13,2006,CHN,0.048908693332994975,0.0506881645696437,
wiod13,2006,CYP,2.7713102027333827e-06,2.7370043377139524e-05,
wiod13,2006,CZE,0.0003435276831506969,0.0021958832171097772,
wiod13,2006,DEU,0.001587990421938256,0.05393986066139277,
wiod13,2006,DNK,8.357482450416627e-05,0.002989330595706831,
wiod13,2006,ESP,0.00032626840093951916,0.0063786901529496644,
wiod13,2006,EST,1.9033302082814013e-05,0.000135059719887357,
wiod13,2006,FIN,0.00010825163122782732,0.0032559865355845925,
wiod13,2006,FRA,0.0005636549840220463,0.020106587967435408,
wiod13,2006,GBR,0.0005541307064001786,0.019204622574723933,
wiod13,2006,GRC,3.880311775190311e-05,0.00036568967734977245,
wiod13,2006,HUN,0.00023387155896893014,0.0015496557950430419,
wiod13,2006,IDN,0.001182000827871026,0.0017425592806035715,
wiod13,2006,IND,0.00834311317365745,0.0036946252763616007,
wiod13,2006,IRL,7.669845816088594e-05,0.0017781172545353898,
wiod13,2006,ITA,0.0011418904860458431,0.022404670718902127,
wiod13,2006,JPN,0.0032236986541483723,0.06754160706833047,
wiod13,2006,KOR,0.0017622532947022933,0.017098934428261204,
wiod13,2006,LTU,2.6589010418043526e-05,0.0001637604860788916,
wiod13,2006,LUX,9.233674893719225e-06,0.00034385735539996264,
wiod13,2006,LVA,1.495422904414028e-05,7.288564818272783e-05,
wiod13,2006,MEX,0.0012702800583859592,0.0034459561913664483,
wiod13,2006,MLT,5.182429202418493e-06,5.506642163529584e-05,
wiod13,2006,NLD,0.000214473064490507,0.0066515102545305635,
wiod13,2006,POL,0.0003893175372535789,0.0021025850611531612,
wiod13,2006,PRT,9.807226456300707e-05,0.0011533595484577892,
wiod13,2006,ROU,0.00024011397119408367,0.0007925246166028434,
wiod13,2006,RUS,0.002126194299045456,0.007224470443592395,
wiod13,2006,SVK,0.00011944139240440436,0.0005225274487305166,
wiod13,2006,SVN,4.998407104301815e-05,0.0006047187819164832,
wiod13,2006,SWE,0.00018430058648013522,0.006092507918778454,
wiod13,2006,TUR,0.0005191792282132502,0.0019626809740710986,
wiod13,2006,TWN,0.0011818659947261394,0.008097340375542482,
wiod13,2006,USA,0.003399019514685969,0.11862925726601453,
wiod13,2007,AUS,0.00017008470313135005,0.004521562921647482,
wiod13,2007,AUT,0.0001415175023469592,0.004507566119670011,
wiod13,2007,BEL,9.371292899453218e-05,0.003688124389674609,
wiod13,2007,BGR,7.935763099564203e-05,0.00021844950374750685,
wiod13,2007,BRA,0.0024274470176615173,0.009450064859075031,
wiod13,2007,CAN,0.0002827658030533954,0.0075894535734716976,
wiod13,2007,CHN,0.044556680155373764,0.05302319685560642,
wiod13,2007,CYP,2.3806156214232733e-06,2.702222163972609e-05,
wiod13,2007,CZE,0.0003146119618165611,0.0024074347800813623,
wiod13,2007,DEU,0.0014607748974802951,0.05445801871256638,
wiod13,2007,DNK,7.460346308257809e-05,0.0030848386747422815,
