year,kappa_min,kappa_med,kappa_max,k_z1_hh_gs10_pc4,k_z1_hh_gs10_single,k_z1_hh_gs10p_pc4,k_z1_hh_gs10p_single,k_z1_econ_gs10_pc4,k_z1_econ_gs10_single,k_z1_econ_gs10p_pc4,k_z1_econ_gs10p_single,k_flow_ls30_pc4,k_flow_ls30_single,k_flow_ls50_pc4,k_flow_ls50_single
2003,0.13102402000004484,0.2664976295961751,0.5644414454952347,0.27496841673701894,0.1396268194080187,0.37769634328883167,0.19179126003367947,0.41092156004775465,0.2086627662060676,0.5644414454952347,0.28661896777745033,0.2580268424553313,0.13102402000004484,0.43004473742555216,0.2183733666667414
2004,0.13354843820496895,0.29521559987680723,0.6851862191764952,0.32743299663896985,0.16626792426732107,0.44234416722780706,0.22461892128061373,0.507190087769699,0.25754717443889913,0.6851862191764952,0.34793222298442816,0.26299820311464467,0.13354843820496895,0.43833033852440784,0.2225807303416149
2005,0.13721483521309477,0.33040058204290434,0.7761230290204846,0.3687927735224391,0.18727009668477104,0.4977412957330821,0.252749151469656,0.5750548867871984,0.2920083905633696,0.7761230290204846,0.3941092264246876,0.2702184734375524,0.13721483521309477,0.45036412239592066,0.22869139202182465
2006,0.1386642556153194,0.38038645211980426,0.8833542223073935,0.4191540635579887,0.21284316733918643,0.5503675095413589,0.27947233276710565,0.6727532156645712,0.3416188406816199,0.8833542223073935,0.44856039080804,0.27307283075139627,0.1386642556153194,0.4551213845856605,0.231107092692199
2007,0.14131821224400504,0.349288417960569,0.8315218777971237,0.37967200464905654,0.19279448547763783,0.5026980367585617,0.25526614593843855,0.6280223019936129,0.31890483127208136,0.8315218777971237,0.42224033015412393,0.2782992926544345,0.14131821224400504,0.46383215442405745,0.23553035374000844
2008,0.12376465616057693,0.2555271591661488,0.5264425205401508,0.2437309085515198,0.12376465616057693,0.34343900750441425,0.17439565186263112,0.37360436941559094,0.18971338758635853,0.5264425205401508,0.26732340978077784,0.28266358596698266,0.14353436638063663,0.4711059766116378,0.23922394396772773
2009,0.09045293093410327,0.20376034782461572,0.47828585055201966,0.1781298128369809,0.09045293093410327,0.2601752742255596,0.13211497691193996,0.22939088281225054,0.11648290283063628,0.335046867730892,0.17013418867893343,0.2869715103312118,0.14572189680455036,0.47828585055201966,0.24286982800758394
2010,0.08024887338916582,0.1975946786977675,0.47773612707694607,0.1580348657536002,0.08024887338916582,0.2317872013399317,0.1176997347063809,0.22649931107329116,0.11501458523332057,0.33220290452206586,0.16869004632224385,0.28664167624616765,0.1455544096263007,0.47773612707694607,0.2425906827105012
2011,0.06044191912022692,0.16087748350838435,0.4692954440868918,0.11902884328024228,0.06044191912022692,0.18311855847750105,0.09298617709701677,0.17877222522094427,0.09077914293686912,0.275030079064109,0.13965813105722938,0.28157726645213504,0.14298274179582443,0.4692954440868918,0.2383045696597074
2012,0.037140008234104786,0.1252191248738869,0.4668961260619274,0.0731401696681859,0.037140008234104786,0.13400577549469292,0.06804708859535705,0.11643247425308087,0.05912350315968132,0.21332496322929242,0.10832475405539395,0.2801376756371564,0.14225172879756903,0.4668961260619274,0.23708621466261506
2013,0.052803800602113544,0.1589141459297817,0.47152302832174015,0.1039870242036507,0.052803800602113544,0.17033819172104572,0.08649640644536219,0.1773143792117072,0.09003886009321757,0.2904536498891524,0.14749010013851765,0.2829138169930441,0.1436614317458185,0.47152302832174015,0.23943571957636417
2014,0.061308974254508576,0.18065611340068183,0.4720499157435392,0.1207363431610527,0.061308974254508576,0.1920139481757772,0.09750318667107646,0.20963884117623216,0.10645296999987894,0.3334007021526894,0.16929827862558644,0.2832299494461235,0.14382196134212247,0.4720499157435392,0.23970326890353744
2015,0.058300587620306245,0.1842976232338449,0.482106997299824,0.11481189889420922,0.058300587620306245,0.19544452394671666,0.09924520631580028,0.2003095563555929,0.1017156318636842,0.3409873563712259,0.17315072252097316,0.28926419837989437,0.14688610593056975,0.482106997299824,0.2448101765509496
2016,0.05366693411366171,0.179055899742292,0.4910372019423472,0.1056868011957021,0.05366693411366171,0.19176654877591195,0.09737755918361242,0.18638273347063306,0.09464369972339938,0.3381876747589315,0.17172906601395094,0.2946223211654083,0.14960691892944758,0.4910372019423472,0.24934486488241264
2017,0.07259717874809704,0.2223588452128134,0.49461310559625093,0.14296631108960287,0.07259717874809704,0.23500470878677207,0.11933355991639985,0.2512444227215944,0.12757996010927716,0.41298975923764236,0.20971298163885477,0.29676786335775057,0.15069640853620841,0.49461310559625093,0.25116068089368065
2018,0.09401270755557972,0.2488743330821277,0.5001373458564022,0.18514011462352015,0.09401270755557972,0.28057316339853045,0.14247286608938367,0.3167899987736392,0.1608634928837571,0.4800838125744841,0.24378281911249783,0.30008240751384135,0.15237950823105453,0.5001373458564022,0.25396584705175757
2019,0.0688320991179673,0.2191677417179702,0.5124685875701824,0.13555170414535758,0.0688320991179673,0.23037994645458557,0.11698514164122463,0.2409598948107107,0.12235755697530895,0.4095288068430773,0.20795553698135485,0.3074811525421095,0.1561365333038504,0.5124685875701824,0.26022755550641735
2020,0.031159400379162327,0.15504716094252569,0.531721968610898,0.06136250202546035,0.031159400379162327,0.16430052965437797,0.0834305286946257,0.10892033133112076,0.05530889552008859,0.2916385013180894,0.14809175846152328,0.31903318116653884,0.16200256342352812,0.531721968610898,0.27000427237254687
2021,0.06019981944989029,0.202528367570251,0.5357405991525062,0.1185520741084796,0.06019981944989029,0.2418297941519592,0.12279928508235853,,,,,0.3214443594915037,0.16322694098854282,0.5357405991525062,0.27204490164757134
2022,0.12833972860298484,0.2625540490148063,0.5363758085377892,0.2527406420058781,0.12833972860298484,0.38118026809582173,0.19356036990320297,,,,,0.3218254851226735,0.1634204736142407,0.5363758085377892,0.27236745602373447
2023,0.16837352794846144,0.30817015862531105,0.5607820108058031,0.33157958189338954,0.16837352794846144,0.4572572503305556,0.23219166867434704,,,,,0.33646920648348194,0.17085644121433952,0.5607820108058031,0.2847607353572325
2024,0.17602594468782357,0.32001306653604755,0.5777492643206487,0.36263997932861003,0.18414575573699546,0.49189779374276804,0.24978186669275623,,,,,0.3466495585923891,0.17602594468782357,0.5777492643206487,0.293376574479706
2025,0.17946842953720282,0.32627146290544334,0.5890481276370255,0.3590576369386039,0.18232667018570664,0.4845535100433586,0.24605249665838078,,,,,0.35342887658221533,0.17946842953720282,0.5890481276370255,0.29911404922867135
