Year,Ranking,Income Concept,"NIPA Table 2.9, line Number",Quantile or Summary Metric,Value
2005,Equivalized Disposable Personal Income,Household dividend income,28.0,80-90%,0.111
2005,Equivalized Disposable Personal Income,Household dividend income,28.0,90-100%,0.674
2005,Equivalized Disposable Personal Income,Household income,22.0,0-10%,0.017
2005,Equivalized Disposable Personal Income,Household income,22.0,10-20%,0.034
2005,Equivalized Disposable Personal Income,Household income,22.0,20-30%,0.043
2005,Equivalized Disposable Personal Income,Household income,22.0,30-40%,0.052
2005,Equivalized Disposable Personal Income,Household income,22.0,40-50%,0.063
2005,Equivalized Disposable Personal Income,Household income,22.0,50-60%,0.076
2005,Equivalized Disposable Personal Income,Household income,22.0,60-70%,0.091
2005,Equivalized Disposable Personal Income,Household income,22.0,70-80%,0.111
2005,Equivalized Disposable Personal Income,Household income,22.0,80-90%,0.145
2005,Equivalized Disposable Personal Income,Household income,22.0,90-100%,0.369
2005,Equivalized Disposable Personal Income,Household income receipts on assets,26.0,0-10%,0.009
2005,Equivalized Disposable Personal Income,Household income receipts on assets,26.0,10-20%,0.012
2005,Equivalized Disposable Personal Income,Household income receipts on assets,26.0,20-30%,0.015
2005,Equivalized Disposable Personal Income,Household income receipts on assets,26.0,30-40%,0.024
2005,Equivalized Disposable Personal Income,Household income receipts on assets,26.0,40-50%,0.034
2005,Equivalized Disposable Personal Income,Household income receipts on assets,26.0,50-60%,0.047
2005,Equivalized Disposable Personal Income,Household income receipts on assets,26.0,60-70%,0.062
2005,Equivalized Disposable Personal Income,Household income receipts on assets,26.0,70-80%,0.084
2005,Equivalized Disposable Personal Income,Household income receipts on assets,26.0,80-90%,0.125
2005,Equivalized Disposable Personal Income,Household income receipts on assets,26.0,90-100%,0.588
2005,Equivalized Disposable Personal Income,Household interest income,27.0,0-10%,0.011
2005,Equivalized Disposable Personal Income,Household interest income,27.0,10-20%,0.015
2005,Equivalized Disposable Personal Income,Household interest income,27.0,20-30%,0.018
2005,Equivalized Disposable Personal Income,Household interest income,27.0,30-40%,0.028
2005,Equivalized Disposable Personal Income,Household interest income,27.0,40-50%,0.039
2005,Equivalized Disposable Personal Income,Household interest income,27.0,50-60%,0.053
2005,Equivalized Disposable Personal Income,Household interest income,27.0,60-70%,0.068
2005,Equivalized Disposable Personal Income,Household interest income,27.0,70-80%,0.090
2005,Equivalized Disposable Personal Income,Household interest income,27.0,80-90%,0.132
2005,Equivalized Disposable Personal Income,Household interest income,27.0,90-100%,0.544
2005,Equivalized Disposable Personal Income,Personal income,1.0,0-10%,0.016
2005,Equivalized Disposable Personal Income,Personal income,1.0,0-20%,0.050
2005,Equivalized Disposable Personal Income,Personal income,1.0,10-20%,0.033
2005,Equivalized Disposable Personal Income,Personal income,1.0,20-30%,0.043
2005,Equivalized Disposable Personal Income,Personal income,1.0,20-40%,0.094
2005,Equivalized Disposable Personal Income,Personal income,1.0,30-40%,0.052
